00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000001
00000000 00000000 00000000 00000010
00000000 00000000 00000000 00000011
00000000 00000000 00000000 00000100
00000000 00000000 00000000 00000101
00000000 00000000 00000000 00000110
00000000 00000000 00000000 00000111
00000000 00000000 00000000 00001000
00000000 00000000 00000000 00001001
00000000 00000000 00000000 00001010
00000000 00000000 00000000 00001011
00000000 00000000 00000000 00001100
00000000 00000000 00000000 00001101
00000000 00000000 00000000 00001110
00000000 00000000 00000000 00001111
00000000 00000000 00000000 00010000
00000000 00000000 00000000 00010001
00000000 00000000 00000000 00010010
00000000 00000000 00000000 00010011
00000000 00000000 00000000 00010100
00000000 00000000 00000000 00010101
00000000 00000000 00000000 00010110
00000000 00000000 00000000 00010111
00000000 00000000 00000000 00011000
00000000 00000000 00000000 00011001
00000000 00000000 00000000 00011010
00000000 00000000 00000000 00011011
00000000 00000000 00000000 00011100
00000000 00000000 00000000 00011101
00000000 00000000 00000000 00011110
00000000 00000000 00000000 00011111
00000000 00000000 00000000 00100000
00000000 00000000 00000000 00100001
00000000 00000000 00000000 00100010
00000000 00000000 00000000 00100011
00000000 00000000 00000000 00100100
00000000 00000000 00000000 00100101
00000000 00000000 00000000 00100110
00000000 00000000 00000000 00100111
00000000 00000000 00000000 00101000
00000000 00000000 00000000 00101001
00000000 00000000 00000000 00101010
00000000 00000000 00000000 00101011
00000000 00000000 00000000 00101100
00000000 00000000 00000000 00101101
00000000 00000000 00000000 00101110
00000000 00000000 00000000 00101111
00000000 00000000 00000000 00110000
00000000 00000000 00000000 00110001
00000000 00000000 00000000 00110010
00000000 00000000 00000000 00110011
00000000 00000000 00000000 00110100
00000000 00000000 00000000 00110101
00000000 00000000 00000000 00110110
00000000 00000000 00000000 00110111
00000000 00000000 00000000 00111000
00000000 00000000 00000000 00111001
00000000 00000000 00000000 00111010
00000000 00000000 00000000 00111011
00000000 00000000 00000000 00111100
00000000 00000000 00000000 00111101
00000000 00000000 00000000 00111110
00000000 00000000 00000000 00111111
